"categoria","producto","ficha","imagen","archivo"
"colagenos-bebibles","colageno-beauty","https://www.guiavitaminway.com.ar/colagenos-bebibles/colageno-beauty","https://www.guiavitaminway.com.ar/images/vitaminway_guia/como_se_usa/PREPARACION_COLAGENO_BEAUTY_X_360_GRAMOS.jpg","colagenos-bebibles\colageno-beauty\01_PREPARACION_COLAGENO_BEAUTY_X_360_GRAMOS.jpg"
"colagenos-bebibles","colageno-beauty","https://www.guiavitaminway.com.ar/colagenos-bebibles/colageno-beauty","https://www.guiavitaminway.com.ar/templates/yootheme/cache/3f/imagen_colageno_beauty-3f228206.jpeg","colagenos-bebibles\colageno-beauty\02_imagen_colageno_beauty-3f228206.jpeg"
"colagenos-bebibles","colageno-beauty","https://www.guiavitaminway.com.ar/colagenos-bebibles/colageno-beauty","https://www.guiavitaminway.com.ar/templates/yootheme/cache/52/imagen_colageno_beauty-52da6df6.jpeg","colagenos-bebibles\colageno-beauty\03_imagen_colageno_beauty-52da6df6.jpeg"
"colagenos-bebibles","colageno-beauty","https://www.guiavitaminway.com.ar/colagenos-bebibles/colageno-beauty","https://www.guiavitaminway.com.ar/templates/yootheme/cache/9d/colageno_beuty-9d7a0fec.png","colagenos-bebibles\colageno-beauty\04_colageno_beuty-9d7a0fec.png"
"colagenos-bebibles","colageno-beauty","https://www.guiavitaminway.com.ar/colagenos-bebibles/colageno-beauty","https://www.guiavitaminway.com.ar/templates/yootheme/cache/f4/colageno_beuty-f43ee705.png","colagenos-bebibles\colageno-beauty\05_colageno_beuty-f43ee705.png"
"colagenos-bebibles","colageno-beauty","https://www.guiavitaminway.com.ar/colagenos-bebibles/colageno-beauty","https://www.guiavitaminway.com.ar/templates/yootheme/cache/f6/colageno_beauty_360_cuadro-f6cc618e.jpeg","colagenos-bebibles\colageno-beauty\06_colageno_beauty_360_cuadro-f6cc618e.jpeg"
"colagenos-bebibles","colageno-beauty-flex","https://www.guiavitaminway.com.ar/colagenos-bebibles/colageno-beauty-flex","https://www.guiavitaminway.com.ar/images/vitaminway_guia/como_se_usa/PREPARACION_COLAGENO_BEAUTY_FLEX.jpg","colagenos-bebibles\colageno-beauty-flex\01_PREPARACION_COLAGENO_BEAUTY_FLEX.jpg"
"colagenos-bebibles","colageno-beauty-flex","https://www.guiavitaminway.com.ar/colagenos-bebibles/colageno-beauty-flex","https://www.guiavitaminway.com.ar/templates/yootheme/cache/32/imagen_colageno_beauty_flex-3214000d.jpeg","colagenos-bebibles\colageno-beauty-flex\02_imagen_colageno_beauty_flex-3214000d.jpeg"
"colagenos-bebibles","colageno-beauty-flex","https://www.guiavitaminway.com.ar/colagenos-bebibles/colageno-beauty-flex","https://www.guiavitaminway.com.ar/templates/yootheme/cache/38/colageno_beuty_flex-3847c150.png","colagenos-bebibles\colageno-beauty-flex\03_colageno_beuty_flex-3847c150.png"
"colagenos-bebibles","colageno-beauty-flex","https://www.guiavitaminway.com.ar/colagenos-bebibles/colageno-beauty-flex","https://www.guiavitaminway.com.ar/templates/yootheme/cache/5c/imagen_colageno_beauty_flex-5c17e7ba.jpeg","colagenos-bebibles\colageno-beauty-flex\04_imagen_colageno_beauty_flex-5c17e7ba.jpeg"
